name,birth_year,major,gpa,class_id
Cuong Viet,2001,AI,2.31,2
Phuc Son,2000,Data Science,3.51,2
Tuan Minh,2002,Information Technology,2.09,1
Son Tuan,2003,Information Technology,3.33,1
Nam Dung,2003,AI,3.92,3
Binh An,2005,Software Engineering,3.01,2
Son Nam,2004,Information Technology,2.41,3
Phuc Viet,1999,Information Technology,2.37,2
Binh Nam,2001,Data Science,3.37,3
Huy An,1999,Information Technology,3.96,1
Tuan Khanh,2004,AI,3.14,2
Minh An,2004,Information Technology,3.22,1
Viet Cuong,2001,Software Engineering,3.88,2
Viet Huy,2001,Computer Science,2.45,1
Cuong Khanh,2000,Software Engineering,3.08,1
Hoang An,2000,Information Technology,3.12,1
Dung Nam,1999,Software Engineering,2.26,1
Khanh Viet,2003,Information Technology,3.37,2
Quan Nam,2002,Information Technology,2.48,1
Quan Minh,2004,Information Technology,3.32,2
Viet An,1999,Information Technology,2.09,2
Dung Viet,2004,AI,2.01,3
Binh Huy,2004,Computer Science,2.67,2
Son Hoang,2002,Information Technology,3.37,3
Phuc Tuan,2005,Information Technology,3.36,1
Viet Binh,2003,Data Science,3.93,2
Dung Huy,2004,AI,3.62,3
Cuong Quan,2002,Information Technology,3.86,2
Quan Quan,1999,Computer Science,2.02,2
Nam Quan,2002,Software Engineering,3.27,1
Binh Quan,2005,Data Science,2.43,3
Huy Viet,2002,Computer Science,3.54,1
Dung Nam,2000,Data Science,2.72,2
Phuc Khanh,2002,Software Engineering,2.02,3
Hoang Cuong,1999,AI,2.35,2
Binh Nam,2000,Software Engineering,2.82,3
Quan Viet,2003,AI,3.38,1
Minh Quan,2004,Information Technology,3.84,3
An Quan,2000,Computer Science,3.48,3
Dung Phuc,2003,Software Engineering,2.74,3
Khanh Nam,2002,Information Technology,3.09,2
Viet Minh,2005,Information Technology,2.56,3
Quan Khanh,2000,Software Engineering,3.63,1
Long Minh,2003,Software Engineering,3.47,2
Minh Son,2003,AI,2.65,3
Hoang Minh,2005,Information Technology,2.35,3
Son Binh,1999,Computer Science,3.92,1
Son Hoang,2004,Computer Science,3.5,2
Dung Huy,2004,AI,3.2,1
Quan Phuc,2000,Information Technology,3.74,3
